int,zone44,zone98,zone63,zone114,zone70,zone14,zone100,zone118,zone106,zone112,zone10,zone72,zone75,zone4,zone77,zone17,zone103,zone171,zone67,zone164,zone172,zone6,zone15,zone57,zone54,zone158,zone30,zone39,zone11,zone170,zone141,zone24,zone143,zone160,zone37,zone161,zone16,zone27,zone78,zone139,zone71,zone125,zone19,zone115,zone93,zone153,zone104,zone137,zone147,zone65,zone123,zone23,zone116,zone56,zone85,zone21,zone74,zone95,zone58,zone69,zone53,zone41,zone88,zone168,zone22,zone52,zone90,zone33,zone136,zone126,zone48,zone94,zone167,zone156,zone165,zone121,zone117,zone80,zone66,zone132,zone45,zone169,zone1,zone12,zone51,zone128,zone38,zone142,zone7,zone5,zone76,zone113,zone154,zone73,zone101,zone129,zone145,zone144,zone34,zone96,zone133,zone140,zone159,zone124,zone68,zone97,zone50,zone28,zone127,zone102,zone134,zone155,zone20,zone25,zone2,zone120,zone84,zone162,zone59,zone157,zone47,zone138,zone148,zone3,zone26
0,27587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2989200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,14235476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,191591,0,0,0,0,0,43384,0,1489,0,0,0,39235,110316,16696,19517,0,0,0,0,0,0,0,0,41333,60400,5607,0,0,0,0,0,1973,0,0,0,0,0,0,0,0,0,331685,0,0,0,0,0,341023,0,0,0,0,388016,0,0,16407,204975,0,0,0,0,0,0,0,0,2715932,1165594,0,0,25346,0,0,0,0,0,0,0,677,0,0,0,4905,220554,0,0,0,0,8522,530394,0,0,0,2353,893060,456412,0,0,0,2203496,33775,0,0,0,0,1297,0,0,0,0,0,34532,0,0,35006,33706,0,0,0,0,0,0,0,21053,0
3,222032,34443,721351,36229,0,65536,647477,0,10063,499870,365619,442209,140680,229706,326983,677113,0,0,2230014,28590,34332,78178,65536,355494,640127,213568,395779,0,139674,101691,0,857830,1374008,24691,8101,3669,0,330934,5838767,9327524,970466,0,7118000,47274,29874,0,250603,463637,13805919,1079702,0,0,0,55716,102057,279135,4107559,2484751,0,4419818,720896,0,1174704,0,58419,0,560064,641693,5338512,0,4673,0,337481,3421,19599,0,0,349965,371034,37783,979663,47546,4794500,4328593,7269491,0,5431004,0,1070285,112944,55846,504888,35591,33732,91753,0,2079874,117127,542710,1926284,572421,0,18930,0,7076389,190517,170983,519619,0,2063732,0,2693413,106757,1123420,226712,887496,937242,161896,1675705,0,859,0,364566,307284,488174
4,7519734,157360,378995,2193,0,65536,975285,0,3403,1969463,950407,212898,88828,159568,168799,130265,0,0,0,40425,9714,0,0,257932,183231,1394625,1853781,235833,41728,0,0,4537,702929,204892,12628723,401125,0,3685406,386624,555020,53944,0,984829,0,55442,0,0,31337,12362833,0,261583,0,8076990,40432,459399,350183,844696,0,0,392478,0,0,478256,0,2183530,0,0,374116,0,1431691,197543,0,99425,973982,0,8059761,0,183179,2580568,59797,7678741,1910,5849379,3553796,116563,0,0,6462092,413120,0,35470,70064,606910,33752,740704,0,0,620379,2406410,0,744075,0,3775986,0,467293,0,0,0,27732,0,23377,0,1352040,3458,0,6299101,0,0,508225,9240,0,0,5469591,241885,675810
5,1261916,22442,185917,260179,0,0,746940,0,5971,0,110364,35298,1143830,103919,903268,46627,0,569346,643996,485205,0,0,0,13701,5106363,794327,4552728,0,0,0,0,62145,3188344,1446836,0,2386509,7471104,2700873,1439941,10404065,40081,0,4135586,2916412,159096,0,4482069,740755,3065112,2485032,0,0,4955809,826556,2427040,103354,5217645,839792,0,591946,0,0,2566263,0,0,0,2489797,1293254,6925501,0,558870,0,117502,988737,6534001,11450,120671,2731331,2269801,426708,0,38438,136438,3439709,4184077,0,0,4324,233689,119794,29480,493905,0,203742,0,35618,0,90084,0,3103681,3698606,0,180529,0,13221179,1022200,0,26620143,60209,22643340,1137852,638740,0,21231613,0,1475153,2292,1410968,11367456,105715,18159,0,409278,80031,1554298
6,0,0,0,0,0,0,0,0,0,21035,18899,0,0,0,0,0,0,0,0,0,0,8012456,0,0,27198,127293,0,1785,0,0,0,0,2328,74651,0,26745,0,0,0,0,0,0,0,50970,17732,0,0,0,0,0,0,0,0,0,7000,0,0,335105,0,0,0,0,123870,0,0,0,0,0,187827,0,0,0,0,0,0,0,75937,9921,0,0,0,0,0,0,0,0,0,0,0,0,0,6248,0,0,9081,0,0,24378,0,705843,82721,0,22251,0,0,0,91540,0,5327,0,0,117512,0,291027,0,38899,0,0,0,16117,0,0,0,0,0
7,0,1519210,3088345,0,0,262144,0,0,503058,0,2049244,0,9045936,547495,0,6413492,0,0,1447696,0,4719453,0,0,0,3403514,556073,73385,90062,0,252748,0,0,0,2638809,0,0,0,234731,518964,0,0,0,0,0,0,0,0,0,2876276,0,0,0,0,0,11281984,494789,35128834,16512,0,0,0,0,1948363,0,0,0,0,0,0,0,0,0,4780466,0,0,3037953,0,264548,383560,0,0,14807,0,4129262,0,0,0,0,467314,1506787,3348472,0,76523,99387,0,262144,0,0,0,3053118,2475,0,0,0,2096299,0,0,48562,30898,0,666013,35960,0,1033357,0,0,35714,0,808999,0,0,0,0,5107,208562
8,3552,101553,1327024,29079,0,0,11746,0,1474725,0,1027451,30491,158323,552932,26046,249626,0,205759,878022,428820,217237,185590,0,28233,756314,1899986,0,0,15206,169849,0,255136,235442,110898,11624,0,0,1502200,663064,15627119,246229,0,1053211,0,0,0,641280,337135,2741669,301890,561,0,926369,0,9368,345403,1794019,51025,0,821678,0,1310720,0,0,51811,0,394591,1112863,0,0,0,0,563366,458692,0,818388,0,0,37703,0,1131916,28371,355898,1891734,2192429,0,925988,152720,35294,23841,4140,39007,264016,282394,34874,32258,3097470,0,0,4801754,239879,0,0,0,76440,5470658,392837,9116,6906,0,335446,18787,703891,106693,426,113005,7792,0,2744511,0,5289398,0,48021,0,546564
9,0,0,0,0,0,0,0,0,98443,0,0,0,0,0,0,0,0,11327,43152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611031,0,0,0,0,0,0,0,0,729073,0,0,0,0,0,0,0,0,0,0,0,0,0,11224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
